Participant_ID,Subscale_1_Week_1,Subscale_1_Week_2,Subscale_1_Week_3,Subscale_1_Week_4,Subscale_1_Week_5,Subscale_1_Week_6,Subscale_1_Week_7,Subscale_1_Week_8,Subscale_1_Week_9,Subscale_1_Week_10,Subscale_1_Week_11,Subscale_1_Week_12,Subscale_1_Week_13,Subscale_1_Week_14,Subscale_1_Week_15,Subscale_1_Week_16,Subscale_1_Week_17,Subscale_1_Week_18,Subscale_1_Week_19,Subscale_1_Week_20,Subscale_1_Week_21,Subscale_1_Week_22,Subscale_1_Week_23,Subscale_1_Week_24,Subscale_1_Week_25,Subscale_1_Week_26,Subscale_1_Week_27,Subscale_1_Week_28,Subscale_1_Week_29,Subscale_1_Week_30,Subscale_1_Week_31,Subscale_1_Week_32,Subscale_1_Week_33,Subscale_1_Week_34,Subscale_1_Week_35,Subscale_1_Week_36,Subscale_1_Week_37,Subscale_1_Week_38,Subscale_1_Week_39,Subscale_1_Week_40,Subscale_1_Week_41,Subscale_1_Week_42,Subscale_1_Week_43,Subscale_1_Week_44,Subscale_1_Week_45,Subscale_1_Week_46,Subscale_1_Week_47,Subscale_1_Week_48,Subscale_1_Week_49,Subscale_1_Week_50,Subscale_1_Week_51,Subscale_1_Week_52,Subscale_2_Week_1,Subscale_2_Week_2,Subscale_2_Week_3,Subscale_2_Week_4,Subscale_2_Week_5,Subscale_2_Week_6,Subscale_2_Week_7,Subscale_2_Week_8,Subscale_2_Week_9,Subscale_2_Week_10,Subscale_2_Week_11,Subscale_2_Week_12,Subscale_2_Week_13,Subscale_2_Week_14,Subscale_2_Week_15,Subscale_2_Week_16,Subscale_2_Week_17,Subscale_2_Week_18,Subscale_2_Week_19,Subscale_2_Week_20,Subscale_2_Week_21,Subscale_2_Week_22,Subscale_2_Week_23,Subscale_2_Week_24,Subscale_2_Week_25,Subscale_2_Week_26,Subscale_2_Week_27,Subscale_2_Week_28,Subscale_2_Week_29,Subscale_2_Week_30,Subscale_2_Week_31,Subscale_2_Week_32,Subscale_2_Week_33,Subscale_2_Week_34,Subscale_2_Week_35,Subscale_2_Week_36,Subscale_2_Week_37,Subscale_2_Week_38,Subscale_2_Week_39,Subscale_2_Week_40,Subscale_2_Week_41,Subscale_2_Week_42,Subscale_2_Week_43,Subscale_2_Week_44,Subscale_2_Week_45,Subscale_2_Week_46,Subscale_2_Week_47,Subscale_2_Week_48,Subscale_2_Week_49,Subscale_2_Week_50,Subscale_2_Week_51,Subscale_2_Week_52,Subscale_3_Week_1,Subscale_3_Week_2,Subscale_3_Week_3,Subscale_3_Week_4,Subscale_3_Week_5,Subscale_3_Week_6,Subscale_3_Week_7,Subscale_3_Week_8,Subscale_3_Week_9,Subscale_3_Week_10,Subscale_3_Week_11,Subscale_3_Week_12,Subscale_3_Week_13,Subscale_3_Week_14,Subscale_3_Week_15,Subscale_3_Week_16,Subscale_3_Week_17,Subscale_3_Week_18,Subscale_3_Week_19,Subscale_3_Week_20,Subscale_3_Week_21,Subscale_3_Week_22,Subscale_3_Week_23,Subscale_3_Week_24,Subscale_3_Week_25,Subscale_3_Week_26,Subscale_3_Week_27,Subscale_3_Week_28,Subscale_3_Week_29,Subscale_3_Week_30,Subscale_3_Week_31,Subscale_3_Week_32,Subscale_3_Week_33,Subscale_3_Week_34,Subscale_3_Week_35,Subscale_3_Week_36,Subscale_3_Week_37,Subscale_3_Week_38,Subscale_3_Week_39,Subscale_3_Week_40,Subscale_3_Week_41,Subscale_3_Week_42,Subscale_3_Week_43,Subscale_3_Week_44,Subscale_3_Week_45,Subscale_3_Week_46,Subscale_3_Week_47,Subscale_3_Week_48,Subscale_3_Week_49,Subscale_3_Week_50,Subscale_3_Week_51,Subscale_3_Week_52,Subscale_4_Week_1,Subscale_4_Week_2,Subscale_4_Week_3,Subscale_4_Week_4,Subscale_4_Week_5,Subscale_4_Week_6,Subscale_4_Week_7,Subscale_4_Week_8,Subscale_4_Week_9,Subscale_4_Week_10,Subscale_4_Week_11,Subscale_4_Week_12,Subscale_4_Week_13,Subscale_4_Week_14,Subscale_4_Week_15,Subscale_4_Week_16,Subscale_4_Week_17,Subscale_4_Week_18,Subscale_4_Week_19,Subscale_4_Week_20,Subscale_4_Week_21,Subscale_4_Week_22,Subscale_4_Week_23,Subscale_4_Week_24,Subscale_4_Week_25,Subscale_4_Week_26,Subscale_4_Week_27,Subscale_4_Week_28,Subscale_4_Week_29,Subscale_4_Week_30,Subscale_4_Week_31,Subscale_4_Week_32,Subscale_4_Week_33,Subscale_4_Week_34,Subscale_4_Week_35,Subscale_4_Week_36,Subscale_4_Week_37,Subscale_4_Week_38,Subscale_4_Week_39,Subscale_4_Week_40,Subscale_4_Week_41,Subscale_4_Week_42,Subscale_4_Week_43,Subscale_4_Week_44,Subscale_4_Week_45,Subscale_4_Week_46,Subscale_4_Week_47,Subscale_4_Week_48,Subscale_4_Week_49,Subscale_4_Week_50,Subscale_4_Week_51,Subscale_4_Week_52,Subscale_5_Week_1,Subscale_5_Week_2,Subscale_5_Week_3,Subscale_5_Week_4,Subscale_5_Week_5,Subscale_5_Week_6,Subscale_5_Week_7,Subscale_5_Week_8,Subscale_5_Week_9,Subscale_5_Week_10,Subscale_5_Week_11,Subscale_5_Week_12,Subscale_5_Week_13,Subscale_5_Week_14,Subscale_5_Week_15,Subscale_5_Week_16,Subscale_5_Week_17,Subscale_5_Week_18,Subscale_5_Week_19,Subscale_5_Week_20,Subscale_5_Week_21,Subscale_5_Week_22,Subscale_5_Week_23,Subscale_5_Week_24,Subscale_5_Week_25,Subscale_5_Week_26,Subscale_5_Week_27,Subscale_5_Week_28,Subscale_5_Week_29,Subscale_5_Week_30,Subscale_5_Week_31,Subscale_5_Week_32,Subscale_5_Week_33,Subscale_5_Week_34,Subscale_5_Week_35,Subscale_5_Week_36,Subscale_5_Week_37,Subscale_5_Week_38,Subscale_5_Week_39,Subscale_5_Week_40,Subscale_5_Week_41,Subscale_5_Week_42,Subscale_5_Week_43,Subscale_5_Week_44,Subscale_5_Week_45,Subscale_5_Week_46,Subscale_5_Week_47,Subscale_5_Week_48,Subscale_5_Week_49,Subscale_5_Week_50,Subscale_5_Week_51,Subscale_5_Week_52,Subscale_6_Week_1,Subscale_6_Week_2,Subscale_6_Week_3,Subscale_6_Week_4,Subscale_6_Week_5,Subscale_6_Week_6,Subscale_6_Week_7,Subscale_6_Week_8,Subscale_6_Week_9,Subscale_6_Week_10,Subscale_6_Week_11,Subscale_6_Week_12,Subscale_6_Week_13,Subscale_6_Week_14,Subscale_6_Week_15,Subscale_6_Week_16,Subscale_6_Week_17,Subscale_6_Week_18,Subscale_6_Week_19,Subscale_6_Week_20,Subscale_6_Week_21,Subscale_6_Week_22,Subscale_6_Week_23,Subscale_6_Week_24,Subscale_6_Week_25,Subscale_6_Week_26,Subscale_6_Week_27,Subscale_6_Week_28,Subscale_6_Week_29,Subscale_6_Week_30,Subscale_6_Week_31,Subscale_6_Week_32,Subscale_6_Week_33,Subscale_6_Week_34,Subscale_6_Week_35,Subscale_6_Week_36,Subscale_6_Week_37,Subscale_6_Week_38,Subscale_6_Week_39,Subscale_6_Week_40,Subscale_6_Week_41,Subscale_6_Week_42,Subscale_6_Week_43,Subscale_6_Week_44,Subscale_6_Week_45,Subscale_6_Week_46,Subscale_6_Week_47,Subscale_6_Week_48,Subscale_6_Week_49,Subscale_6_Week_50,Subscale_6_Week_51,Subscale_6_Week_52
11,1,3,4,2,1,2,3,5,5,4,5,1,5,4,3,3,5,2,3,5,4,5,3,4,5,1,4,1,2,4,1,3,3,2,4,4,4,2,4,3,1,3,3,1,3,2,1,3,5,3,2,4,3,4,5,3,1,4,5,1,1,1,1,3,3,3,5,5,5,2,5,3,3,2,2,5,4,2,1,3,1,3,3,2,2,1,3,1,4,1,5,1,5,5,5,4,1,1,4,3,2,1,2,4,3,3,3,4,5,5,2,5,5,3,3,2,1,2,2,4,4,2,2,2,5,4,2,3,3,5,5,1,1,1,5,5,5,3,5,3,1,1,1,2,2,4,4,4,2,2,4,4,5,4,5,3,2,4,2,2,2,3,1,4,1,1,1,2,5,2,2,1,2,1,5,4,1,5,4,3,1,1,3,3,1,3,2,4,4,4,2,3,5,3,1,4,3,5,1,2,2,5,1,4,3,1,2,5,5,3,5,5,1,4,3,1,4,1,1,5,4,3,3,4,5,2,1,5,4,1,3,2,3,4,1,4,1,5,2,5,5,4,2,1,1,3,1,4,5,5,5,2,1,4,2,3,4,4,4,5,4,1,4,5,4,3,3,5,1,1,2,5,4,5,2,5,5,2,1,4,2,3,1,3,1,4,4,5,3,1,4,2,4,2,1,4,4,1,4,2,4,3,5,2,3,1,2,5,5,1,1,2
12,4,1,4,3,5,4,5,4,3,1,3,1,1,5,3,4,3,5,1,5,2,2,4,5,4,4,2,4,2,1,5,4,2,3,4,1,1,3,2,4,2,1,2,1,2,3,5,3,3,5,5,4,4,3,3,1,1,4,4,1,1,2,2,1,2,5,4,4,1,3,1,2,3,2,5,2,5,5,2,2,5,3,5,4,5,3,4,1,1,3,5,2,3,4,4,1,4,3,4,3,2,1,4,3,5,1,2,3,2,2,4,4,3,5,3,5,2,1,3,3,5,2,2,5,2,4,1,3,1,3,4,2,5,4,1,5,2,4,5,4,4,2,3,5,2,4,2,3,5,3,1,5,3,4,5,5,2,4,1,3,2,3,1,1,5,1,3,4,4,5,3,3,1,3,2,1,2,5,4,5,4,5,3,2,4,1,2,1,2,2,5,4,4,2,3,3,1,1,5,2,1,1,2,5,1,5,4,5,3,3,5,3,4,2,3,3,5,4,2,5,5,4,2,4,2,4,5,5,1,3,4,1,3,4,2,3,5,1,3,3,5,4,2,5,2,4,3,2,1,1,5,4,5,5,5,1,1,5,1,4,5,1,2,5,5,4,3,3,4,4,4,3,4,1,5,5,2,2,5,1,3,3,1,3,4,5,5,1,3,2,2,3,2,1,1,3,2,1,1,4,4,1,3,5,5,1,1,1,3,4,1,1
13,2,3,1,2,5,1,1,2,3,1,5,1,5,4,4,5,3,1,1,4,5,1,1,3,2,4,4,2,1,3,3,4,3,2,1,2,5,4,3,5,3,1,1,1,3,5,1,5,3,5,3,3,4,3,3,2,1,4,4,4,2,3,1,5,3,2,3,3,2,4,4,1,1,4,5,3,5,3,4,1,1,5,1,4,5,3,1,2,1,3,5,3,2,4,1,5,4,3,5,4,5,2,2,1,1,2,5,2,1,2,2,5,4,1,5,2,2,4,1,1,3,1,4,3,3,2,2,1,3,2,4,2,2,3,3,5,4,3,1,4,4,3,4,3,2,5,2,3,3,2,1,1,1,3,4,3,4,2,5,4,1,3,2,1,2,5,3,3,5,3,4,2,1,5,4,1,1,5,4,1,1,4,3,1,2,4,1,5,2,1,2,2,3,2,3,4,3,5,1,4,4,5,3,1,3,2,3,4,1,3,1,1,2,2,4,5,1,5,4,1,1,5,3,2,3,5,2,3,2,1,3,2,2,2,3,4,3,5,3,2,1,3,3,2,1,1,5,3,1,1,4,4,1,5,1,2,3,5,2,5,2,3,3,4,2,4,2,4,3,5,4,2,2,3,2,1,5,4,5,3,4,4,1,3,2,1,1,5,5,5,1,2,4,5,2,3,5,4,3,3,4,5,1,4,4,4,3,2,1,5,5,2
14,4,1,5,5,4,2,1,2,2,1,1,5,5,1,3,5,3,1,5,2,1,4,3,1,1,5,5,5,4,5,1,5,2,5,4,2,1,1,3,2,3,2,2,4,3,4,2,1,2,4,3,3,4,3,5,1,1,1,3,3,2,2,1,5,2,2,3,5,1,2,5,5,1,5,5,5,2,1,5,5,2,1,3,2,1,5,1,1,1,3,1,3,5,3,5,5,3,2,4,1,4,1,1,5,1,1,3,4,3,1,5,3,3,2,1,5,3,3,5,1,2,3,2,4,1,4,4,4,1,1,5,2,2,5,5,4,5,3,2,5,3,3,3,3,4,3,4,4,3,2,3,3,3,2,1,1,4,4,2,5,1,4,1,2,2,5,5,2,4,1,3,5,3,4,5,3,4,1,4,5,2,1,3,5,2,4,2,5,5,2,4,2,5,5,3,3,1,5,3,2,4,2,4,3,1,2,2,2,4,3,2,2,1,1,3,3,5,1,5,4,5,2,5,3,4,2,5,4,4,2,5,4,4,1,4,1,5,5,5,3,5,4,2,1,3,5,5,2,2,3,1,5,3,4,4,3,5,3,5,2,3,5,3,3,5,5,1,3,4,3,3,5,3,3,4,5,3,2,1,4,3,2,3,3,5,5,5,2,3,1,4,5,5,3,3,2,2,5,3,1,4,3,3,2,4,5,3,5,3,5,4,2
15,4,1,2,4,1,3,3,5,2,3,2,3,5,4,5,1,3,1,1,2,3,1,4,1,4,2,1,5,2,4,2,1,3,3,4,4,3,4,2,5,5,2,5,1,2,4,2,3,4,3,4,5,2,1,4,4,3,5,3,3,5,1,3,3,4,5,2,1,1,5,4,4,5,4,1,1,2,5,3,3,2,2,4,2,2,3,4,2,2,4,5,4,3,5,1,4,3,5,4,2,4,1,4,5,5,4,5,2,4,2,2,3,4,5,2,3,4,4,1,1,2,1,2,5,2,1,5,1,2,3,4,1,2,5,1,1,4,2,3,5,2,5,1,4,4,3,4,1,3,2,4,3,1,5,5,1,1,5,3,5,1,4,2,4,4,1,5,3,4,5,3,4,3,5,2,5,1,3,2,3,3,4,1,3,5,5,4,1,1,5,2,4,4,5,5,2,2,1,4,4,5,1,4,1,1,5,1,2,2,3,5,3,2,3,5,5,1,4,1,5,2,2,1,5,2,5,2,5,3,5,5,1,3,4,1,4,2,4,5,4,1,1,4,1,1,4,3,3,2,1,4,1,5,1,1,3,4,1,3,2,3,3,3,1,1,2,5,5,5,2,5,5,3,1,1,3,3,3,1,5,3,2,3,4,3,1,3,4,2,5,3,4,4,2,1,3,4,2,5,4,2,1,1,4,4,3,2,4,3,3,4,1
16,2,2,1,4,2,4,4,3,1,4,5,1,2,3,2,2,1,2,4,2,3,3,5,3,2,3,1,3,4,1,5,4,2,2,2,4,4,4,1,1,2,3,2,5,1,4,1,4,5,5,1,4,5,2,2,4,1,5,1,2,5,1,3,4,4,3,2,5,4,3,3,2,2,1,4,1,3,5,5,2,5,5,5,3,5,5,5,1,3,2,1,4,3,3,4,4,4,2,5,3,5,5,4,2,1,2,5,2,4,1,4,1,5,1,1,1,2,2,5,1,3,5,1,1,2,5,1,1,5,3,5,5,3,5,1,5,3,4,5,2,1,1,2,2,5,2,4,3,2,2,4,1,1,5,4,3,3,4,3,1,3,3,4,4,3,2,4,5,5,1,3,2,1,3,4,5,2,5,4,3,4,4,5,2,4,5,2,3,3,1,5,2,4,3,2,5,1,3,2,2,2,5,5,5,4,2,3,5,5,2,5,4,4,5,2,2,2,1,5,2,4,3,3,2,3,3,1,4,4,1,1,3,5,3,1,4,3,5,3,2,3,1,4,4,1,2,1,3,1,1,2,3,5,5,4,1,4,2,5,1,2,2,1,2,1,1,3,4,2,2,3,3,3,5,5,5,1,2,4,1,2,2,3,3,1,3,2,3,5,3,2,1,4,3,2,4,4,5,4,2,2,3,3,3,4,4,5,3,1,5,1,4
17,5,5,2,4,4,5,4,5,2,5,4,4,5,5,5,3,4,4,3,5,2,5,5,3,4,5,4,1,4,2,2,5,4,5,3,2,5,3,5,4,4,4,4,1,3,3,4,1,4,1,4,2,2,5,4,3,5,2,4,5,4,2,5,2,1,2,4,3,2,3,1,5,5,3,5,2,3,4,2,2,2,4,1,5,3,1,3,5,4,2,2,4,1,1,3,4,1,4,5,2,2,2,4,4,3,2,3,2,3,3,5,3,4,3,2,3,1,2,1,2,4,4,4,1,5,2,4,2,1,5,1,2,5,5,1,4,2,3,3,1,2,2,1,2,4,1,4,2,1,2,1,2,4,4,2,1,3,4,4,3,2,1,2,5,4,5,4,4,5,5,2,5,2,2,2,4,4,5,4,5,4,1,1,5,4,4,2,3,5,3,3,5,4,5,3,4,1,5,5,4,1,1,4,2,5,5,3,4,3,3,1,5,3,1,4,3,5,3,4,3,5,1,5,1,2,5,5,4,3,1,1,4,4,3,3,5,2,3,4,3,1,2,5,1,1,2,5,4,5,3,1,3,4,3,5,3,4,4,4,5,4,1,4,3,3,3,5,3,5,5,4,1,4,4,5,5,3,3,4,2,2,3,2,3,5,4,1,4,3,3,4,3,2,2,3,3,2,3,3,4,1,2,4,1,3,3,4,3,5,4,1,4
18,2,4,3,3,5,5,5,1,5,1,5,1,4,4,3,1,2,3,4,1,5,2,4,3,1,2,1,5,3,1,4,3,4,1,3,4,5,5,1,3,2,3,5,4,2,1,2,1,2,1,1,2,2,1,5,2,3,4,1,1,4,5,4,2,4,1,4,3,2,4,1,2,1,5,3,5,3,4,2,4,3,3,3,1,2,4,4,5,3,3,3,4,5,1,2,1,4,3,2,4,4,4,2,2,5,5,1,2,2,2,5,4,3,5,2,5,1,2,1,2,5,4,3,1,5,4,5,1,3,5,2,4,5,4,2,3,3,2,4,5,2,1,4,3,2,3,4,3,2,4,1,2,5,2,4,2,1,1,5,3,4,4,3,1,1,2,5,5,5,2,5,3,2,3,2,5,3,3,3,2,4,5,3,4,5,5,3,3,2,4,4,3,5,3,5,5,3,1,4,5,5,1,2,1,1,5,4,1,2,3,1,1,2,4,1,1,4,2,1,4,1,3,5,3,1,2,5,3,4,2,3,4,1,4,3,3,1,4,4,1,4,1,2,3,2,5,5,5,1,4,2,2,2,2,5,2,4,5,2,1,3,3,3,5,2,5,4,1,1,3,3,3,2,4,4,4,4,3,1,3,4,3,4,5,1,5,2,3,2,3,5,4,4,3,4,5,4,5,2,5,1,1,1,3,3,3,5,3,2,1,5,1
19,3,5,4,2,3,3,2,2,4,3,3,1,5,5,1,5,2,5,5,1,4,5,5,4,1,4,1,2,1,2,2,1,3,1,5,5,3,2,3,5,3,1,3,2,1,4,5,5,3,1,4,1,5,1,4,3,2,1,2,5,3,3,1,3,1,1,2,3,1,2,4,2,2,1,5,5,5,2,1,3,2,2,1,4,2,4,4,5,1,4,1,5,1,2,4,1,3,1,4,5,5,4,2,2,5,5,4,2,5,2,5,1,3,1,5,3,3,5,5,2,5,4,5,4,5,2,4,1,4,2,4,5,5,2,3,5,1,2,4,4,1,5,2,1,5,2,4,2,3,2,3,2,3,4,5,3,3,4,3,1,4,1,4,3,1,3,4,3,1,1,3,2,4,4,3,2,1,5,5,3,2,2,4,1,2,5,1,1,3,2,3,2,4,3,3,5,3,2,5,3,3,4,3,1,5,1,5,4,3,3,3,5,3,1,3,4,1,3,3,2,5,1,2,4,5,1,3,1,3,5,3,4,3,4,5,5,1,4,4,2,2,2,3,2,4,3,5,1,2,5,4,1,5,1,2,4,1,5,2,2,5,5,1,3,2,1,5,1,5,4,5,5,5,3,5,2,2,1,3,1,2,2,4,5,2,1,1,5,5,4,3,1,5,1,5,2,1,2,1,3,4,2,5,3,1,2,1,1,1,4,4,5
20,2,3,3,3,1,4,2,1,4,4,2,2,2,1,5,2,5,1,5,3,5,2,1,2,3,2,2,2,4,3,2,2,2,1,4,1,4,2,3,5,5,2,1,3,4,2,3,3,4,3,1,1,1,3,1,4,3,5,3,4,5,3,1,2,2,1,2,2,1,1,3,3,1,4,2,3,2,5,1,4,5,5,5,1,3,1,3,5,5,4,3,5,2,4,1,4,2,3,1,1,3,4,5,4,2,5,4,3,2,2,2,5,1,5,4,1,4,1,5,2,3,2,5,1,2,5,4,3,2,1,4,5,3,1,5,5,2,2,1,5,2,3,3,5,2,1,1,1,3,2,2,3,1,1,5,4,2,2,2,4,5,4,1,1,2,3,2,3,4,1,3,4,1,3,2,2,2,4,2,5,1,4,2,1,3,2,1,5,3,5,1,5,1,1,5,1,2,1,4,1,4,1,1,5,2,2,3,5,5,2,5,2,5,1,2,2,4,5,5,2,1,1,1,5,4,2,3,4,3,4,1,5,3,4,5,3,2,4,2,1,2,2,4,1,2,5,3,2,1,2,3,1,4,1,4,1,3,3,1,2,3,4,4,5,4,5,1,1,1,2,2,5,4,4,1,3,2,2,1,2,1,5,4,3,4,4,5,2,3,2,4,1,4,2,4,1,5,2,4,2,5,4,4,2,2,1,5,1,4,2,4,4
21,3,3,4,2,4,3,2,4,5,5,4,2,4,4,3,5,3,3,4,3,5,3,5,3,5,3,3,2,5,5,5,1,3,5,1,2,5,5,1,3,2,5,3,2,4,4,2,1,2,2,1,1,3,3,1,4,4,2,5,2,2,5,1,4,2,5,3,2,4,1,2,2,5,3,3,1,4,1,2,2,3,4,5,4,2,5,4,4,5,2,4,5,2,5,5,4,2,4,1,1,2,5,4,4,2,2,1,3,2,3,2,5,5,1,1,3,2,4,1,4,4,2,3,2,1,4,2,2,2,1,3,2,1,4,5,1,5,2,2,1,5,2,4,3,3,2,5,2,5,4,5,2,4,1,3,2,2,2,4,1,5,1,4,2,3,2,5,3,2,3,1,4,2,5,1,2,1,5,2,5,3,5,3,2,3,2,2,4,2,3,4,4,2,5,5,4,2,5,2,2,4,4,1,5,5,5,3,2,4,5,1,5,2,2,4,3,4,5,1,4,3,4,2,5,5,5,5,5,5,1,3,5,3,5,4,5,2,1,4,4,2,5,1,4,1,4,5,4,4,3,5,2,2,5,2,5,2,3,2,4,5,1,1,5,3,2,3,1,5,5,3,3,2,4,4,2,4,1,4,2,4,5,3,1,5,5,2,3,3,1,2,1,4,5,1,5,2,4,2,4,4,5,2,2,1,2,1,3,3,3,2,2
22,1,4,1,3,1,4,2,1,3,3,2,1,4,2,1,5,3,4,4,4,3,1,2,1,2,4,1,4,5,4,4,2,5,4,4,5,5,1,2,5,5,3,5,2,4,4,4,4,3,5,4,1,4,5,4,3,2,2,5,2,2,1,5,5,2,2,2,3,4,3,5,1,4,1,5,5,1,1,1,5,2,1,4,5,3,3,4,2,1,5,1,5,3,1,4,2,4,2,1,1,2,3,5,4,4,4,1,4,5,5,2,1,5,3,1,1,5,3,2,5,3,1,3,1,5,5,4,4,4,5,2,5,3,5,5,1,1,1,5,2,3,3,2,2,3,4,1,1,3,2,4,3,1,5,2,5,3,1,4,5,4,1,5,4,4,5,1,4,3,5,2,2,1,3,4,2,1,3,3,1,1,4,1,4,4,5,3,3,3,5,4,4,1,5,1,5,1,2,3,3,4,2,3,4,2,3,1,5,2,4,2,4,2,4,3,1,3,1,3,3,2,5,4,4,4,1,4,4,2,3,4,5,4,1,1,1,4,2,5,4,2,2,4,4,2,2,2,4,2,1,4,1,3,4,3,2,2,5,2,3,2,4,2,5,2,3,3,2,3,3,5,4,5,1,5,2,4,2,1,4,3,5,2,1,3,5,3,5,4,3,3,3,4,1,5,3,4,1,5,4,5,3,1,4,1,3,1,1,2,1,5,4
23,2,4,4,3,3,2,3,3,3,4,2,4,5,4,5,1,1,5,5,4,5,2,1,1,5,3,3,5,2,3,5,2,2,4,2,3,3,5,5,2,1,4,1,2,2,1,4,1,5,3,5,3,2,4,1,4,1,5,5,1,4,1,2,5,2,5,5,3,2,2,3,4,2,1,3,2,4,2,5,1,3,5,4,5,5,4,5,3,2,5,3,2,2,5,3,5,4,2,5,2,3,1,5,5,2,3,4,3,5,4,3,1,2,3,3,1,5,2,3,4,3,2,3,1,3,3,4,1,1,3,4,3,3,2,2,4,5,2,5,1,2,2,4,5,2,2,4,4,5,1,1,3,2,5,2,5,5,5,2,4,2,5,3,1,5,3,4,5,3,5,2,3,2,2,3,1,3,1,5,5,3,5,4,2,2,1,5,1,2,2,5,4,4,5,5,1,5,4,5,1,1,1,1,3,5,2,5,3,1,3,4,4,5,5,2,2,4,1,3,2,2,1,1,5,3,1,2,2,4,1,5,3,5,2,5,2,2,2,2,2,4,5,4,4,1,1,1,3,1,5,4,5,1,3,3,4,5,2,5,1,2,3,4,4,3,1,3,1,2,3,1,2,3,4,3,5,3,5,2,3,2,2,1,2,2,3,3,4,1,2,1,5,2,1,4,4,2,5,4,4,5,1,4,3,4,1,1,2,3,1,5,3
24,3,5,4,5,5,4,4,4,4,4,5,2,2,1,2,2,5,4,4,5,2,5,1,4,3,1,1,5,2,4,3,1,3,2,2,3,4,2,3,1,3,3,5,2,4,4,5,4,3,5,1,2,2,2,3,1,5,5,2,1,1,1,4,4,2,1,1,5,5,2,1,2,5,5,4,2,2,1,1,4,3,3,3,2,2,5,2,2,2,4,2,1,1,5,4,1,4,4,5,4,2,4,5,5,5,1,2,1,3,2,4,5,3,2,1,5,1,2,2,3,4,1,3,5,4,3,1,2,5,1,4,4,2,2,5,5,2,2,4,2,3,1,2,5,3,5,3,2,1,5,3,4,2,1,2,4,1,4,2,3,2,2,2,5,4,4,4,5,3,2,3,5,4,2,1,1,3,4,1,3,5,3,3,3,2,3,3,2,2,5,4,1,1,3,5,3,1,2,4,5,2,4,5,5,1,2,5,5,4,1,3,1,3,2,2,5,2,5,1,2,1,1,2,1,2,2,2,3,1,4,2,1,5,2,2,4,3,3,2,1,5,5,1,2,5,3,1,4,2,1,5,2,3,2,2,3,3,2,3,1,3,3,2,1,4,4,5,3,3,1,4,5,1,3,4,5,2,4,5,1,2,5,5,3,4,3,2,5,3,4,2,1,3,2,1,3,2,2,3,2,5,3,2,1,1,5,3,2,2,1,5,1
25,1,5,3,2,3,4,4,4,5,1,3,2,4,3,4,4,2,5,1,5,3,5,3,3,1,2,1,5,3,4,4,3,1,2,1,3,3,2,5,5,2,5,4,5,5,5,4,5,4,2,1,2,1,2,1,1,3,1,1,3,5,5,3,4,1,1,3,3,4,5,2,5,1,3,4,5,4,5,1,2,4,4,2,4,4,5,5,2,1,4,1,2,2,5,4,3,2,4,1,5,1,2,2,1,2,4,2,5,4,3,2,2,5,5,1,1,1,5,1,1,3,1,2,5,4,3,5,5,2,1,2,1,1,5,1,3,3,3,5,2,4,1,4,2,2,5,3,3,2,5,5,1,3,2,4,3,1,5,2,3,4,1,1,3,4,1,2,1,4,5,5,3,4,1,1,5,5,2,5,2,1,2,2,3,5,2,1,4,2,5,3,1,3,4,2,2,5,2,1,4,3,4,2,3,5,4,3,3,3,1,4,3,4,3,5,5,5,2,3,2,4,2,4,4,4,2,3,2,3,3,4,2,3,5,3,5,2,2,2,3,1,3,3,4,4,3,5,4,3,1,5,2,3,3,5,4,4,4,2,5,5,4,4,1,1,3,3,5,5,2,2,1,3,1,1,3,2,3,4,4,4,5,2,2,5,1,4,4,1,3,3,2,5,2,3,1,2,4,4,1,3,4,4,5,2,3,2,3,4,5,2,4
26,3,2,2,4,2,5,5,4,3,4,5,1,1,2,2,1,5,2,4,4,5,2,4,2,2,4,1,4,5,3,4,2,2,4,3,4,3,3,5,2,2,3,2,1,3,2,1,5,2,1,4,4,1,3,3,2,4,3,3,4,5,3,1,2,3,3,5,1,2,3,2,4,3,3,4,5,3,2,1,2,5,1,2,2,4,5,4,1,4,5,3,3,1,3,4,1,5,1,1,2,2,1,3,2,5,4,2,1,3,4,2,3,3,3,1,5,3,4,2,4,1,1,4,5,1,1,4,1,5,5,5,2,5,5,2,3,1,5,1,4,1,2,1,1,1,3,3,4,2,1,1,1,1,3,4,5,2,1,4,5,4,3,5,4,3,4,4,5,3,1,2,5,3,4,3,2,2,1,1,2,5,5,4,1,4,1,2,5,5,2,4,4,3,1,4,2,4,5,1,3,1,5,5,5,5,2,3,5,5,4,3,1,3,3,3,5,5,2,1,4,3,1,1,2,4,3,4,2,5,1,3,5,2,4,1,3,5,5,1,4,2,4,4,4,1,1,2,4,1,2,2,4,3,4,3,2,1,5,2,1,2,4,3,2,1,4,5,4,3,4,5,1,2,3,5,3,4,3,5,2,2,3,1,3,4,2,2,2,1,1,5,3,3,4,2,1,4,4,1,3,2,3,4,2,5,4,3,3,3,1,4,2
